Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Finland,2.0,39.0,30.0,0.0,63.0,63.0,0.0,0.0,63.0,63.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,11.0,17.0,26.0,26.0,9.0,10.0,34.0,28.0,12.0,33.0,34.0,40.0,34.0,52.0,138.0,77.0,79.0,52.0,61.0,41.0,104.0,77.0,93.0,20.0,43.0,25.0,42.0,24.0
FMLN (El Salvador)*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,1692.0,2298.0,2603.0,2875.0,2096.0,2190.0,2006.0,2677.0,3297.0,3009.0,3847.0,3786.0,3828.0,3461.0,3008.0,4037.0,3023.0,1800.0,1994.0,2289.0,1818.0,1200.0,1250.0,979.0,901.0,1018.0,1937.0,3272.0,3167.0,1817.0,1082.0,1416.0,1433.0,1400.0,2283.0,1817.0,1666.0,2369.0,1968.0,1888.0,866.0,1731.0,1010.0,1468.0,1627.0,1995.0,2041.0,2367.0,1773.0,3368.0
Gabon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,69.0,0.0,69.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0
Germany,1434.0,1364.0,1377.0,226.0,1208.0,1446.0,1662.0,1895.0,1671.0,1464.0,1591.0,1896.0,1525.0,2246.0,2799.0,1283.0,1373.0,924.0,1398.0,1285.0,1856.0,2395.0,1490.0,1489.0,2843.0,1509.0,1950.0,939.0,1808.0,1858.0,1612.0,896.0,906.0,1652.0,1111.0,2071.0,2758.0,3292.0,2362.0,2461.0,2664.0,1317.0,747.0,779.0,1788.0,1766.0,2514.0,1982.0,1071.0,1185.0
Ghana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,18.0,0.0,19.0,31.0,9.0,3.0,2.0,2.0,0.0,6.0,22.0,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,0.0,0.0,8.0,44.0,8.0,8.0,0.0,0.0,0.0,0.0,4.0,30.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,82.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,7.0,2.0,21.0,24.0,31.0,0.0,0.0,27.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,4.0,27.0,19.0,33.0,23.0,15.0,27.0,5.0,3.0,0.0,14.0,36.0,42.0,45.0,56.0,43.0,115.0
Indonesia,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,25.0,0.0,8.0,0.0,49.0,0.0,16.0,49.0,0.0,25.0,8.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,86.0,94.0,15.0,8.0
Iran,23.0,6.0,106.0,6.0,129.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,1.0,2.0,75.0,0.0,43.0,45.0,45.0,86.0,21.0,12.0,47.0,15.0,5.0,20.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
